Turn 3,00:06.390,00:05.885,00:05.853,00:05.714,00:05.820,00:05.727,00:05.781,00:05.822,00:05.716,00:05.776,00:05.807,00:06.196,00:06.005,00:05.893,00:05.835,00:05.856,00:05.835,00:05.818,00:05.687,00:05.687,00:05.716
Str 3-4,00:03.726,00:03.474,00:03.838,00:03.585,00:03.683,00:03.553,00:03.459,00:03.490,00:03.576,00:03.607,00:03.548,00:03.700,00:03.460,00:03.768,00:03.511,00:03.617,00:03.674,00:03.569,00:03.701,00:03.459,00:03.576
Turn 4,00:03.613,00:03.141,00:03.053,00:03.233,00:02.965,00:03.359,00:03.012,00:02.965,00:03.096,00:03.254,00:03.597,00:03.280,00:03.461,00:03.156,00:02.912,00:03.261,00:03.214,00:02.880,00:03.302,00:02.880,00:03.096
Str 4-5,00:14.962,00:14.354,00:14.756,00:14.504,00:14.838,00:14.387,00:14.744,00:14.640,00:14.747,00:14.786,00:14.359,00:15.353,00:15.443,00:14.723,00:14.639,00:14.968,00:14.662,00:14.757,00:14.846,00:14.354,00:14.747
Turn 5,00:03.703,00:02.777,00:03.323,00:03.486,00:03.334,00:03.472,00:03.116,00:03.543,00:03.471,00:03.536,00:03.612,00:03.754,00:03.338,00:03.540,00:03.305,00:03.311,00:03.570,00:03.505,00:03.461,00:02.777,00:03.471
Turn 6,00:02.550,00:03.207,00:02.239,00:02.195,00:02.298,00:02.446,00:02.301,00:02.349,00:02.247,00:02.247,00:02.475,00:02.631,00:02.201,00:02.179,00:02.229,00:02.140,00:02.051,00:02.267,00:02.041,00:02.041,00:02.247
Str 6-7,00:04.696,00:05.823,00:04.605,00:04.669,00:04.600,00:04.883,00:04.765,00:04.647,00:04.485,00:04.607,00:05.169,00:05.175,00:04.688,00:04.496,00:04.570,00:04.563,00:04.487,00:04.683,00:04.747,00:04.485,00:04.485
Turn 7,00:02.497,00:01.957,00:02.342,00:02.384,00:02.356,00:02.301,00:02.305,00:02.465,00:02.374,00:02.314,00:02.223,00:02.433,00:02.381,00:02.363,00:02.227,00:02.319,00:02.386,00:02.295,00:02.372,00:01.957,00:02.374
Str 7-8,00:02.794,00:03.425,00:02.620,00:02.705,00:02.823,00:02.993,00:02.859,00:02.943,00:02.632,00:02.848,00:02.986,00:02.964,00:02.821,00:02.529,00:02.885,00:02.601,00:02.649,00:02.763,00:02.657,00:02.529,00:02.632
Turn 8,00:00.836,00:00.925,00:00.788,00:00.788,00:00.825,00:00.836,00:00.816,00:00.817,00:00.799,00:00.831,00:00.824,00:00.820,00:00.805,00:00.802,00:00.820,00:00.811,00:00.797,00:00.798,00:00.784,00:00.784,00:00.799
Str 8-9,00:01.106,00:00.971,00:01.012,00:00.960,00:01.017,00:00.914,00:00.953,00:00.947,00:01.053,00:01.034,00:00.973,00:00.932,00:00.971,00:01.086,00:00.969,00:01.045,00:00.996,00:00.962,00:01.033,00:00.914,00:01.053
Turn 9,00:13.512,00:03.729,00:04.422,00:04.252,00:04.249,00:08.482,00:04.119,00:04.209,00:04.391,00:04.420,00:04.109,00:04.264,00:04.397,00:04.430,00:04.130,00:04.221,00:15.253,00:04.160,00:04.395,00:03.729,00:04.391
Str 9-10,00:04.270,00:05.853,00:03.888,00:03.952,00:04.016,00:05.388,00:04.286,00:03.982,00:03.908,00:04.135,00:04.389,00:04.097,00:03.940,00:04.017,00:04.075,00:04.209,00:05.850,00:04.122,00:03.813,00:03.813,00:03.908
Turn 10,00:04.410,00:05.945,00:04.428,00:05.049,00:04.604,00:04.966,00:05.029,00:04.612,00:04.242,00:04.155,00:05.090,00:05.403,00:04.599,00:03.976,00:04.909,00:04.276,00:04.824,00:05.261,00:04.636,00:03.976,00:04.242
Str 0-1 (Start),00:15.070,00:15.420,00:15.130,00:14.799,00:14.956,00:14.948,00:14.959,00:15.265,00:14.746,00:15.036,00:22.652,00:14.859,00:14.937,00:15.386,00:14.645,00:14.928,00:15.109,00:14.759,00:14.703,00:14.645,00:14.746
Totals,01:58.686,01:47.325,01:42.554,01:42.160,01:42.283,01:48.233,01:42.035,01:42.507,01:41.114,01:42.500,01:52.198,02:39.663,01:43.697,01:42.373,01:42.410,01:41.591,01:55.802,01:42.408,01:41.746,01:37.074,01:41.114
